Peak Date,Track,With,Streams,Artist
20160520,One Dance,WizKid,"1,565,547,608",Drake
20160520,One Dance,Kyla,"1,565,547,608",Drake
20180126,God's Plan,,"1,411,495,266",Drake
20180720,In My Feelings,,"855,700,970",Drake
20181012,MIA,Bad Bunny,"709,149,155",Drake
20180413,Nice For What,,"667,025,696",Drake
20160227,Work,Rihanna,"653,892,172",Drake
20151031,Hotline Bling,,"598,802,339",Drake
20180316,Look Alive,BlocBoy JB,"586,887,330",Drake
20160805,Too Good,Rihanna,"548,427,652",Drake
20181205,Going Bad,Meek Mill,"528,891,661",Drake
20161028,Fake Love,,"523,119,401",Drake
20170321,Passionfruit,,"513,021,733",Drake
20180629,Nonstop,,"506,811,603",Drake
20180518,Yes Indeed,Lil Baby,"397,383,224",Drake
20190621,Money In The Grave (Drake ft. Rick Ross),Rick Ross,"382,713,803",Drake
20151023,Jumpman,Future,"377,446,605",Drake
20160520,Controlla,,"370,100,290",Drake
20190614,No Guidance,Chris Brown,"347,460,051",Drake
20180126,Walk It Talk It,Migos,"291,448,319",Drake
20180629,Don’t Matter To Me,Michael Jackson,"219,966,105",Drake
20170320,Portland,Quavo,"218,636,166",Drake
20170320,Portland,Travis Scott,"218,636,166",Drake
20180921,No Stylist,French Montana,"198,354,183",Drake
20180629,I'm Upset,,"191,914,577",Drake
20160519,"Hold On, We're Going Home",Majid Jordan,"186,091,659",Drake
20170630,Signs,,"152,892,368",Drake
20160518,Pop Style,,"148,915,067",Drake
20160817,Come and See Me,PARTYNEXTDOOR,"136,766,793",Drake
20170320,Gyalchester,,"134,557,433",Drake
20150921,Back To Back,,"134,022,563",Drake
20150217,Energy,,"123,493,882",Drake
20181005,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,"121,399,850",Drake
20181005,"Never Recover (Lil Baby & Gunna, Drake)",Gunna,"121,399,850",Drake
20150218,Know Yourself,,"115,134,958",Drake
20180629,Mob Ties,,"114,227,589",Drake
20161028,Sneakin’,21 Savage,"108,882,272",Drake
20150922,Where Ya At,Future,"100,650,784",Drake
20160518,Still Here,,"100,633,920",Drake
20160212,Summer Sixteen,,"93,426,092",Drake
20150218,Legend,,"92,705,055",Drake
20151002,Big Rings,Future,"90,199,370",Drake
20170320,Blem,,"88,525,903",Drake
20150116,Only,Nicki Minaj,"86,477,380",Drake
